Reg no,1. Name of national platform or if regional* (Choose from drop-down menu),2. Name of facility* (Choose from drop-down menu),3. DOI number - Prioritized identification of publication*,"4a. If no DOI number exists, report other publication identification number and type (e.g. PMID, PMCID, Manuscript ID)","4b. If no DOI number exists, Report Journal impact factor 2015",5. Type of publication (Choose from drop-down menu)*,"Registered by*
Please write your email address",ISSN,Title,Authors,Journal,
116,Affinity Proteomics,PLA Proteomics,10.1042/BCJ20160581,,3.562,Service,masood.kamali@igp.uu.se,0264-6021 1470-8728,Scaffolding protein IQGAP1: an insulin-dependent link between caveolae and the c...,"Jufvas A, Rajan MR, ..., Turkina MV",BIOCHEM J,
117,Affinity Proteomics,PLA Proteomics,10.1074/mcp.M115.055756,,5.912,Technology development,masood.kamali@igp.uu.se,1535-9476 1535-9484,Single Chain Antibodies as Tools to Study transforming growth factor-β-Regulated...,"Blokzijl A, Zieba A, ..., Landegren U",MOL CELL PROTEOMICS,26929218
118,Affinity Proteomics,PLA Proteomics,10.1186/s13059-016-1045-6,,5.64,Technology development,masood.kamali@igp.uu.se,1474-760X,"Multiplexed, targeted profiling of single-cell proteomes and transcriptomes in a...","Genshaft AS, Li S, ..., Shalek AK",,27640647
119,Affinity Proteomics,PLA Proteomics,10.1371/journal.pone.0149821,,3.057,Technology development,masood.kamali@igp.uu.se,1932-6203,A Multiplex Protein Panel Applied to Cerebrospinal Fluid Reveals Three New Bioma...,"Lind A, Wu D, ..., Kamali-Moghaddam M",PLOS ONE,26914813
120,Affinity Proteomics,PLA Proteomics,10.1371/journal.pone.0154214,,3.057,Collaborative,masood.kamali@igp.uu.se,1932-6203,"Elevated Levels of SOX10 in Serum from Vitiligo and Melanoma Patients, Analyzed ...","Blokzijl A, Chen LE, ..., Hedstrand H",PLOS ONE,27110718
121,Affinity Proteomics,PLA Proteomics,10.1681/ASN.2015101126,,8.491,Service,masood.kamali@igp.uu.se,1046-6673 1533-3450,Autoantibodies Targeting a Collecting Duct-Specific Water Channel in Tubulointer...,"Landegren N, Pourmousa Lindberg M, ..., Ka mpe O",J AM SOC NEPHROL,26984885
122,Affinity Proteomics,Protein and Peptide Arrays,10.1016/j.nbt.2015.09.002,Sjöberg New Biotechnol,3.199,Technology development,ulrika.qundos@scilifelab.se,1871-6784,Exploration of high-density protein microarrays for antibody validation and auto...,"Sjöberg R, Mattsson C, ..., Nilsson P",NEW BIOTECHNOL,26417875
123,Affinity Proteomics,Protein and Peptide Arrays,10.1021/acs.jproteome.6b00620,Pin JPR,4.173,Collaborative,ulrika.qundos@scilifelab.se,1535-3893 1535-3907,Identification of a Novel Autoimmune Peptide Epitope of Prostein in Prostate Cancer,"Pin E, Henjes F, ..., Schwenk JM",J PROTEOME RES,27700103
124,Affinity Proteomics,Protein and Peptide Arrays,10.1073/pnas.1518553113,Ayoglu PNAS,9.423,Collaborative,ulrika.qundos@scilifelab.se,0027-8424 1091-6490,Anoctamin 2 identified as an autoimmune target in multiple sclerosis,"Ayoglu B, Mitsios N, ..., Nilsson P",P NATL ACAD SCI USA,26862169
125,Affinity Proteomics,Protein and Peptide Arrays,10.1080/08916934.2016.1183655,Häggmark Autoimmunity,2.917,Collaborative,ulrika.qundos@scilifelab.se,0891-6934 1607-842X,Autoantibody targets in vaccine-associated narcolepsy,"Häggmark-Månberg A, Zandian A, ..., Nilsson P",AUTOIMMUNITY,27206786
126,Affinity Proteomics,Protein and Peptide Arrays,10.1371/journal.pone.0167909,Berge Plos One,3.057,Collaborative,ulrika.qundos@scilifelab.se,1932-6203,Serum Autoantibody Profiling of Patients with Paraneoplastic and Non-Paraneoplas...,"ten Berge JC, van Rosmalen J, ..., Schreurs MWJ",PLOS ONE,27930731
127,Affinity Proteomics,Protein and Peptide Arrays,10.4155/bio.16.31,Ayoglu Bioanalysis,2.813,Technology development,ulrika.qundos@scilifelab.se,1757-6180 1757-6199,Antigen arrays for profiling autoantibody repertoires,"Ayoglu B, Schwenk JM, Nilsson P",BIOANALYSIS,27097564
128,Affinity Proteomics,Tissue Profiling,10.1002/pmic.201600135,,4.079,Collaborative,per-henrik.edqvist@igp.uu.se,1615-9853,Tissue microarray profiling in human heart failure,"Lal S, Nguyen L, ..., dos Remedios C",PROTEOMICS,27364902
129,Affinity Proteomics,Tissue Profiling,10.1007/s00403-016-1655-6,,2.146,Collaborative,per-henrik.edqvist@igp.uu.se,0340-3696 1432-069X,SATB2 is expressed in Merkel cell carcinoma,"Fukuhara M, Agnarsdóttir M, ..., Ponten F",ARCH DERMATOL RES,27262585
130,Affinity Proteomics,Tissue Profiling,10.1007/s10549-016-3983-9,,4.085,Collaborative,per-henrik.edqvist@igp.uu.se,0167-6806 1573-7217,Long-term outcome in young women with breast cancer: a population-based study,"Fredholm H, Magnusson K, ..., Fredriksson I",BREAST CANCER RES TR,27624330
131,Affinity Proteomics,Tissue Profiling,10.1007/s12022-015-9405-4,,1.817,Collaborative,per-henrik.edqvist@igp.uu.se,1046-3976 1559-0097,Oncogene-Induced Senescence in Pituitary Adenomas—an Immunohistochemical Study,"Manojlovic-Gacic E, Skender-Gazibara M, ..., Casar-Borota O",ENDOCR PATHOL,26573928
132,Affinity Proteomics,Tissue Profiling,10.1016/j.cels.2016.02.001,,Kan inte hitta,Collaborative,per-henrik.edqvist@igp.uu.se,2405-4712,System-wide Clinical Proteomics of Breast Cancer Reveals Global Remodeling of Ti...,"Pozniak Y, Balint-Lahat N, ..., Geiger T",,27135363
133,Affinity Proteomics,Tissue Profiling,10.1016/j.cels.2016.08.001,,Kan inte hitta,Collaborative,per-henrik.edqvist@igp.uu.se,2405-4712,Analysis of Body-wide Unfractionated Tissue Data to Identify a Core Human Endoth...,"Butler LM, Hallström BM, ..., Odeberg J",,27641958
134,Affinity Proteomics,Tissue Profiling,10.1016/j.chembiol.2016.09.013,,Kan inte hitta,Service,per-henrik.edqvist@igp.uu.se,2451-9456,Large-Scale Gene Expression Profiling Platform for Identification of Context-Dep...,"Senkowski W, Jarvius M, ..., Fryknäs M",,27984028
135,Affinity Proteomics,Tissue Profiling,10.1016/j.ejso.2016.10.013,,2.94,Service,per-henrik.edqvist@igp.uu.se,0748-7983,Associations of defect mismatch repair genes with prognosis and heredity in spor...,"Ghanipour L, Jirström K, ..., Birgisson H",EJSO-EUR J SURG ONC,27836416
136,Affinity Proteomics,Tissue Profiling,10.1016/j.tranon.2016.04.001,,3.33,Service,per-henrik.edqvist@igp.uu.se,1936-5233,Detection of Biomarkers with Solid-Phase Proximity Ligation Assay in Patients wi...,"Ghanipour L, Darmanis S, ..., Birgisson H",,27267845
137,Affinity Proteomics,Tissue Profiling,10.1038/bjc.2016.407,,5.569,Service,per-henrik.edqvist@igp.uu.se,0007-0920 1532-1827,Perivascular PDGFR-β is an independent marker for prognosis in renal cell carcinoma,"Frödin M, Mezheyeuski A, ..., Östman A",BRIT J CANCER,27931046
138,Affinity Proteomics,Tissue Profiling,10.1038/srep20104,,5.228,Collaborative,per-henrik.edqvist@igp.uu.se,2045-2322,Proteome-wide survey of the autoimmune target repertoire in autoimmune polyendoc...,"Landegren N, Sharon D, ..., Kämpe O",SCI REP-UK,26830021
139,Affinity Proteomics,Tissue Profiling,10.1038/srep36149,,?,Service,per-henrik.edqvist@igp.uu.se,,,,,27805003
141,Affinity Proteomics,Tissue Profiling,10.1080/14789450.2016.1199280,,3.465,Collaborative,per-henrik.edqvist@igp.uu.se,1478-9450 1744-8387,The Human Protein Atlas – an important resource for basic and clinical research,Lindskog C,EXPERT REV PROTEOMIC,
142,Affinity Proteomics,Tissue Profiling,10.1111/all.12927,,6.335,Collaborative,per-henrik.edqvist@igp.uu.se,0105-4538,"Protein profiles of CCL5, HPGDS, and NPSR1 in plasma reveal association with chi...","Hamsten C, Häggmark A, ..., van Hage M",ALLERGY,27145233
143,Affinity Proteomics,Tissue Profiling,10.1111/ejh.12784,,2.544,Collaborative,per-henrik.edqvist@igp.uu.se,0902-4441,Expression of possible targets for new proteasome inhibitors in diffuse large B-...,"Delforoush M, Berglund M, ..., Enblad G",EUR J HAEMATOL,27301795
144,Affinity Proteomics,Tissue Profiling,10.1126/science.aaf2403,,34.661,Collaborative,per-henrik.edqvist@igp.uu.se,0036-8075 1095-9203,Visualization and analysis of gene expression in tissue sections by spatial tran...,"Stahl PL, Salmen F, ..., Frisen J",SCIENCE,27365449
145,Affinity Proteomics,Tissue Profiling,10.1158/0008-5472.CAN-15-2596,,8.556,Collaborative,per-henrik.edqvist@igp.uu.se,0008-5472 1538-7445,Guidance Molecule SEMA3A Restricts Tumor Growth by Differentially Regulating the...,"Wallerius M, Wallmann T, ..., Rolny C",CANCER RES,
146,Affinity Proteomics,Tissue Profiling,10.1160/TH16-04-0267,,5.255,Collaborative,per-henrik.edqvist@igp.uu.se,0340-6245,A stromal cell population in the large intestine identified by tissue factor exp...,"Eriksson O, Asplund A, ..., Siegbahn A",THROMB HAEMOSTASIS,27656710
147,Affinity Proteomics,Tissue Profiling,10.1172/jci.insight.86837,,Kan inte hitta,Collaborative,per-henrik.edqvist@igp.uu.se,2379-3708,Profiling cancer testis antigens in non–small-cell lung cancer,"Djureinovic D, Hallström BM, ..., Micke P",,
148,Affinity Proteomics,Tissue Profiling,10.1186/s12885-016-2646-x,,3.265,Collaborative,per-henrik.edqvist@igp.uu.se,1471-2407,Inconsistent results in the analysis of ALK rearrangements in non-small cell lun...,"Mattsson JSM, Brunnström H, ..., Svensson MA",BMC CANCER,
149,Affinity Proteomics,Tissue Profiling,10.1186/s12885-016-2923-8,,3.265,Collaborative,per-henrik.edqvist@igp.uu.se,1471-2407,ANLN is a prognostic biomarker independent of Ki-67 and essential for cell cycle...,"Magnusson K, Gremel G, ..., Pontén F",BMC CANCER,27863473
150,Affinity Proteomics,Tissue Profiling,10.1210/en.2016-1758,,4.159,Collaborative,per-henrik.edqvist@igp.uu.se,0013-7227 1945-7170,The human adrenal gland proteome defined by transcriptomics and antibody-based p...,"Bergman J, Botling J, ..., Pontén F",ENDOCRINOLOGY,
151,Affinity Proteomics,Tissue Profiling,10.1369/0022155416641028,,2.14,Collaborative,per-henrik.edqvist@igp.uu.se,0022-1554 1551-5044,A Systematic Characterization of Aquaporin-9 Expression in Human Normal and Path...,"Lindskog C, Asplund A, ..., Ru tzler M",J HISTOCHEM CYTOCHEM,27026296
152,Affinity Proteomics,Tissue Profiling,10.15252/msb.20155865,,10.581,Collaborative,per-henrik.edqvist@igp.uu.se,1744-4292,Transcriptomics resources of human tissues and organs,"Uhlen M, Hallstro m BM, ..., Nielsen J",MOL SYST BIOL,27044256
153,Affinity Proteomics,Tissue Profiling,10.18632/oncotarget.11957,,5.008,Collaborative,per-henrik.edqvist@igp.uu.se,1949-2553,PROX1 is a novel pathway-specific prognostic biomarker for high-grade astrocytom...,"Roodakker KR, Elsir T, ..., Smits A",ONCOTARGET,
154,Affinity Proteomics,Tissue Profiling,10.18632/oncotarget.7613,,5.008,Service,per-henrik.edqvist@igp.uu.se,1949-2553,Markers of fibroblast-rich tumor stroma and perivascular cells in serous ovarian...,"Corvigno S, Wisman GBA, ..., Dahlstrand H",ONCOTARGET,26918345
155,Affinity Proteomics,Tissue Profiling,10.18632/oncotarget.9632,,5.008,Service,per-henrik.edqvist@igp.uu.se,1949-2553,Survival-associated heterogeneity of marker-defined perivascular cells in colore...,"Mezheyeuski A, Bradic Lindh M, ..., Östman A",ONCOTARGET,
157,Affinity Proteomics,Tissue Profiling,10.3171/2015.10.JNS15583,,3.443,Collaborative,per-henrik.edqvist@igp.uu.se,0022-3085,Extension of diffuse low-grade gliomas beyond radiological borders as shown by t...,"Zetterling M, Roodakker KR, ..., Smits A",J NEUROSURG,26918468
158,Affinity Proteomics,Tissue Profiling,10.3389/fnana.2016.00077,,3.26,Collaborative,per-henrik.edqvist@igp.uu.se,1662-5129,"Horizontal Cells, the Odd Ones Out in the Retina, Give Insights into Development...","Boije H, Shirazi Fard S, ..., Hallböök F",FRONT NEUROANAT,27486389
159,Bioimaging,Advanced Light Microscopy,10.1007/978-1-4939-3684-7_8,,0.79,Technology development,hjalmar.brismar@scilifelab.se,1064-3745 1940-6029,Microwell-Based Live Cell Imaging of NK Cell Dynamics to Assess Heterogeneity in...,"Vanherberghen B, Frisk T, ..., Önfelt B",,27177659
160,Bioimaging,Advanced Light Microscopy,10.1007/s00441-016-2359-0,,2.948,Collaborative,hjalmar.brismar@scilifelab.se,0302-766X 1432-0878,Super-resolution structured illumination fluorescence microscopy of the lateral ...,"Liu W, Edin F, ..., Rask-Andersen H",CELL TISSUE RES,26941236
161,Bioimaging,Advanced Light Microscopy,10.1016/j.kint.2016.03.026,,7.683,Collaborative,hjalmar.brismar@scilifelab.se,0085-2538,Prevention of apoptosis averts glomerular tubular disconnection and podocyte los...,"Burlaka I, Nilsson LM, ..., Aperia A",KIDNEY INT,27217195
162,Bioimaging,Advanced Light Microscopy,10.1038/ki.2015.308,,7.683,Technology development,hjalmar.brismar@scilifelab.se,0085-2538,Super-resolution stimulated emission depletion imaging of slit diaphragm protein...,"Unnersjö-Jess D, Scott L, ..., Brismar H",KIDNEY INT,26444032
163,Bioimaging,Advanced Light Microscopy,10.1091/mbc.E15-11-0799,,4.037,Collaborative,hjalmar.brismar@scilifelab.se,1059-1524,Profilin connects actin assembly with microtubule dynamics,"Nejedla M, Sadi S, ..., Karlsson R",MOL BIOL CELL,27307590
164,Bioimaging,Advanced Light Microscopy,10.1117/1.NPh.3.4.041803,,Kan inte hitta,Technology development,hjalmar.brismar@scilifelab.se,2329-423X,Sodium pump organization in dendritic spines,"Blom H, Bernhem K, Brismar H",,27175374
165,Bioimaging,Advanced Light Microscopy,10.1126/sciadv.1600060,,0,Collaborative,hjalmar.brismar@scilifelab.se,2375-2548,Analysis of neural crest-derived clones reveals novel aspects of facial development,"Kaucka M, Ivashkin E, ..., Adameyko I",,27493992
166,Bioimaging,Advanced Light Microscopy,10.1152/ajpcell.00359.2015,,3.395,Collaborative,hjalmar.brismar@scilifelab.se,0363-6143 1522-1563,"Na + -K + -ATPase, a new class of plasma membrane receptors","Aperia A, Akkuratov EE, ..., Brismar H",AM J PHYSIOL-CELL PH,26791490
167,Bioimaging,Advanced Light Microscopy,10.1186/s40478-016-0296-5,,Kan inte hitta,Collaborative,hjalmar.brismar@scilifelab.se,2051-5960,Super-resolution microscopy reveals γ-secretase at both sides of the neuronal sy...,"Schedin-Weiss S, Caesar I, ..., Tjernberg LO",,27036709
168,Bioimaging,Advanced Light Microscopy,10.1371/journal.pone.0149915,,3.057,Collaborative,hjalmar.brismar@scilifelab.se,1932-6203,Bioelectric and Morphological Response of Liquid-Covered Human Airway Epithelial...,"Turdalieva A, Solandt J, ..., Fu Y",PLOS ONE,26913754
169,Bioimaging,Advanced Light Microscopy,10.15252/embr.201642030,,7.739,Collaborative,hjalmar.brismar@scilifelab.se,1469-221X 1469-3178 1469-221X 1469-3178,High density of REC8 constrains sister chromatid axes and prevents illegitimate ...,"Agostinho A, Manneberg O, ..., Höög C",EMBO REP,27170622
170,Bioimaging,Advanced Light Microscopy,10.3389/fimmu.2016.00119,,5.695,Technology development,hjalmar.brismar@scilifelab.se,1664-3224,Microchip Screening Platform for Single Cell Assessment of NK Cell Cytotoxicity,"Guldevall K, Brandt L, ..., Önfelt B",FRONT IMMUNOL,27092139
171,Bioimaging,Fluorescence Correlation Spectroscopy,10.1002/cphc.201501129,,3.138,Technology development,stefan.wennmalm@scilifelab.se,1439-4235,Label-Free Fluctuation Spectroscopy Based on Coherent Anti-Stokes Raman Scatteri...,"Rabasovic MD, Sisamakis E, ..., Widengren J",CHEMPHYSCHEM,26819085
172,Bioimaging,Fluorescence Correlation Spectroscopy,10.1021/acs.biomac.5b01716,,5.583,Collaborative,stefan.wennmalm@scilifelab.se,1525-7797 1526-4602,Luminescent Nanocellulose Platform: From Controlled Graft Block Copolymerization...,"Navarro JRG, Wennmalm S, ..., Edlund U",BIOMACROMOLECULES,26789648
173,Bioimaging,Fluorescence Correlation Spectroscopy,10.1021/acs.langmuir.6b03458,,3.993,Collaborative,stefan.wennmalm@scilifelab.se,0743-7463 1520-5827,Spontaneous Vesiculation and pH-Induced Disassembly of a Lysosomotropic Detergen...,"Villamil Giraldo AM, Fyrner T, ..., Ederth T",LANGMUIR,27936755
174,Bioimaging,Fluorescence Correlation Spectroscopy,10.1210/me.2016-1023,,3.432,Collaborative,stefan.wennmalm@scilifelab.se,0888-8809 1944-9917,Elevated Basal Insulin Secretion in Type 2 Diabetes Caused by Reduced Plasma Mem...,"Nagaraj V, Kazim AS, ..., Renström E",MOL ENDOCRINOL,27533789
175,Chemical Biology Consortium Sweden,Laboratories for Chemical Biology Umeå (LCBU),10.1002/chem.201602416,,5.771,Service,per-anders.enquist@umu.se,0947-6539,"Design and Synthesis of 2,2′-Diindolylmethanes to Selectively Target Certain G-Q...","Livendahl M, Jamroskovic J, ..., Chorell E",CHEM-EUR J,27431593
176,Chemical Biology Consortium Sweden,Laboratories for Chemical Biology Umeå (LCBU),10.1002/chem.201603463,,5.771,Collaborative,per-anders.enquist@umu.se,0947-6539,Identification of Compounds that Selectively Stabilize Specific G-Quadruplex Str...,"Jamroskovic J, Livendahl M, ..., Sabouri N",CHEM-EUR J,27862378
177,Chemical Biology Consortium Sweden,Laboratories for Chemical Biology Umeå (LCBU),10.1021/acs.jmedchem.6b00967,,5.589,Service,per-anders.enquist@umu.se,0022-2623 1520-4804,Discovery of Selective Inhibitors Targeting Acetylcholinesterase 1 from Disease-...,"Engdahl C, Knutsson S, ..., Linusson A",J MED CHEM,27598521
178,Chemical Biology Consortium Sweden,Laboratories for Chemical Biology Umeå (LCBU),10.1038/srep35824,,5.228,Collaborative,per-anders.enquist@umu.se,2045-2322,Auxotrophy-based High Throughput Screening assay for the identification of Bacil...,"Andresen L, Varik V, ..., Hauryliuk V",SCI REP-UK,27775002
179,Chemical Biology Consortium Sweden,Laboratories for Chemical Biology Umeå (LCBU),10.1177/1087057115625184,,2.218,Collaborative,per-anders.enquist@umu.se,1087-0571 1552-454X,High-Throughput Screening Using a Whole-Cell Virus Replication Reporter Gene Ass...,"Islam MK, Baudin M, ..., Evander M",J BIOMOL SCREEN,26762502
180,Chemical Biology Consortium Sweden,Laboratories for Chemical Biology Umeå (LCBU),10.1371/journal.pone.0153112,,3.057,Collaborative,per-anders.enquist@umu.se,1932-6203,Modifications of the 7-Hydroxyl Group of the Transthyretin Ligand Luteolin Provi...,"Nilsson L, Larsson A, ..., Olofsson A",PLOS ONE,27050398
181,Chemical Biology Consortium Sweden,Laboratories for Chemical Biology Umeå (LCBU),10.3389/fmicb.2016.01930,,4.165,Collaborative,per-anders.enquist@umu.se,1664-302X,Identification and Characterization of Novel Compounds Blocking Shiga Toxin Expr...,"Huerta-Uribe A, Marjenberg ZR, ..., Roe AJ",FRONT MICROBIOL,27965652
