National/ Regional,Platform,Facility,Authors,Title of publication,Journal,Volume,Issue,Pages y-x,Year of publication,"Co-publication, academy - industry, (yes/no)",Journal Impact factor ,
National,Affinity proteomics,Protein and peptide arrays (KTH),"Søren Buus, Johan Rockberg, Björn Forsström, Peter Nilsson, Mathias Uhlen, Claus Schafer-Nielsen ",High-resolution mapping of linear antibody epitopes using ultrahigh-density peptide microarrays.,Mol Cell Proteomics,11,12,1790-1800,2012,yes,7.251,22984286
National,Affinity proteomics,Protein and peptide arrays (KTH),"Anna Häggmark, Maja Neiman, Kimi Drobin, Martin Zwahlen, Mathias Uhlén, Peter Nilsson, Jochen M Schwenk ",Classification of protein profiles from antibody microarrays using heat and detergent treatment.,New Biotechnol,29,5,564-570,2012,no,1.706,22023822
National,Affinity proteomics,Protein and peptide arrays (KTH),"Ronald Sjöberg, Mårten Sundberg, Anna Gundberg, Asa Sivertsson, Jochen M Schwenk, Mathias Uhlén, Peter Nilsson ",Validation of affinity reagents using antigen microarrays.,New Biotechnology ,29,5,555-563,2012,no,1.706,22134247
National,Affinity proteomics,Protein and peptide arrays (KTH),"Ulrika Qundos, Mun-Gwan Hong, Gunnel Tybring, Mark Divers, Jacob Odeberg, Mathias Uhlen, Peter Nilsson, Jochen M Schwenk ",Profiling post-centrifugation delay of serum and plasma with antibody bead arrays.,J Proteomics,95,Special issue,46-54,2013,no,3.929,23631827
National,Affinity proteomics,Protein and peptide arrays (KTH),"Kimi Drobin, Peter Nilsson, Jochen M Schwenk ",Highly multiplexed antibody suspension bead arrays for plasma protein profiling.,Methods and Protocols Series: Methods in Molecular Biology,1023,N/A,137-45,2013,no,N/A,23765623
National,Affinity proteomics,Protein and peptide arrays (KTH),"Burcu Ayoglu, Anna Häggmark, Mohsen Khademi, Tomas Olsson, Mathias Uhlén, Jochen M Schwenk, Peter Nilsson ",Autoantibody profiling in multiple sclerosis using arrays of human protein fragments.   ,Mol Cell Proteomics,12,9,2657-2672,2013,no,7.254,23732997
National,Affinity proteomics,Protein and peptide arrays (KTH),"Spyros Darmanis, Tao Cui, Kimi Drobin, Su-Chen Li, Kjell Oberg, Peter Nilsson, Jochen M Schwenk, Valeria Giandomenico ",Identification of candidate serum proteins for classifying well-differentiated small intestinal neuroendocrine tumors.,PloS One,8,11,e81712,2013,no,3.534,24282616
National,Affinity proteomics,Protein and peptide arrays (KTH),"Anna Häggmark, Sanna Byström, Burcu Ayoglu, Ulrika Qundos, Mathias Uhlén, Mohsen Khademi, Tomas Olsson, Jochen M Schwenk, Peter Nilsson ",Antibody-based profiling of cerebrospinal fluid within multiple sclerosis.,Proteomics,13,15,2256-2267,2013,no,3.973,23696371
National,Affinity proteomics,Protein and peptide arrays (KTH),"Maja Neiman, Claudia Fredolini, Henrik Johansson, Janne Lehtiö, Per-Åke Nygren, Mathias Uhlén, Peter Nilsson, Jochen M Schwenk ",Selectivity analysis of single binder assays used in plasma protein profiling. ,Proteomics,13,23-24,3406-10,2013,no,3.973,24151238
National,Affinity proteomics,Protein and peptide arrays (KTH),"Anna Häggmark, Maria Mikus, Atefeh Mohsenchian, Mun-Gwan Hong, Björn Forsström, Beata Gajewska, Anna Barańczyk-Kuźma, Mathias Uhlén,Jochen M Schwenk, Magdalena Kuźma-Kozakiewicz, Peter Nilsson ",Plasma profiling reveals three proteins associated to amyotrophic lateral sclerosis,Annals of Clinical and Translational Neurology,1,8,544-53,2014,no,N/A,25356426
National,Affinity proteomics,Protein and peptide arrays (KTH),"Burcu Ayoglu, Amina Chaouch, Hanns Lochmüller, Luisa Politano, Enrico Bertini, Pietro Spitali, Monika Hiller, Eric Niks, Francesca Gualandi, Fredrik Pontén, Kate Bushby, Annemieke Aartsma-Rus, Elena Schwartz, Yannick Le Priol, Volker Straub, Mathias Uhlén, Sebahattin Cirak, Peter A C 't Hoen, Francesco Muntoni, Alessandra Ferlini, Jochen M Schwenk, Peter Nilsson, Cristina Al-Khalili Szigyarto ",Affinity proteomics within rare diseases: a BIO-NMD study for blood biomarkers of muscular dystrophies.,EMBO Mol Med,6,7,918-36,2014,no,8.245,24920607
National,Affinity proteomics,Protein and peptide arrays (KTH),"Björn Forsström, Barbara Bisławska Axnäs, Klaus-Peter Stengele, Jochen Bühler, Thomas J. Albert, Todd A. Richmond, Francis Jingxin Hu, Peter Nilsson, Elton P Hudson, Johan Rockberg and Mathias Uhlen ",Proteome-wide epitope mapping of antibodies using ultra-dense peptide arrays.,Mol Cell Proteomics,13,6,1585-97,2014,yes,7.254,24705123
National,Affinity proteomics,Protein and peptide arrays (KTH),"Fagerberg L, Hallström BM, Oksvold P, Kampf C, Djureinovic D, Odeberg J, Habuka M, Tahmasebpoor S, Danielsson A, Edlund K, Asplund A, Sjöstedt E, Lundberg E, Szigyarto CA, Skogs M, Takanen JO, Berling H, Tegel H, Mulder J, Nilsson P, Schwenk JM, Lindskog C, Danielsson F, Mardinoglu A, Sivertsson A, von Feilitzen K, Forsberg M, Zwahlen M, Olsson I, Navani S, Huss M, Nielsen J, Ponten F, Uhlén M.",Analysis of the human tissue-specific expression by genome-wide integration of transcriptomics and antibody-based proteomics.,Mol Cell Proteomics,13,2,397-406,2014,no,7.254,24309898
National,Affinity proteomics,Protein and peptide arrays (KTH),"Burcu Ayoglu, Eszter Szarka, Krisztina Huber, Anita Orosz, Fruzsina Babos, Anna Magyar, Ferenc Hudecz, Bernadette Rojkovich, Tamás Gáti, György Nagy, Jochen M Schwenk, Gabriella Sármay, József Prechl, Peter Nilsson, Krisztián Papp ",Bead arrays for antibody and complement profiling reveal joint contribution of antibody isotypes to c3 deposition.,PloS One,9,5,e96403,2014,no,3.534,24797804
National,Affinity proteomics,Protein and peptide arrays (KTH),"Julie Bachmann, Florence Burté, Setia Pramana, Ianina Conte, Biobele Brown, Adebola Orimadegun, Wasiu Ajetunmobi, Nathaniel Afolabi, Francis Akinkunmi, Samuel Omokhodion, Felix Akinbami, Wuraola Shokunbi, Caroline Kampf, Yudi Pawitan, Mathias Uhlén, Olugbemiro Sodeinde, Jochen Schwenk, Mats Wahlgren, Delmiro Fernandez-Reyes, Peter Nilsson ",Affinity proteomics reveals elevated muscle proteins in plasma of children with cerebral malaria.,PLOS Pathog,10,4,e1004038,2014,no,8.057,24743550
National,Affinity proteomics,Protein and peptide arrays (KTH),"Mahya Dezfouli, Sanja Vickovic, Maria Jesus Iglesias, Peter Nilsson, Jochen M Schwenk, Afshin Ahmadian ",Magnetic Bead Assisted Labeling of Antibodies at Nanogram Scale.,Proteomics,14,1,14-8,2014,no,3.973,24307663
National,Affinity proteomics,Protein and peptide arrays (KTH),"Ulrika Qundos, Henrik Johannesson, Claudia Fredolini, Gillian O’Hurley, Rui Branca, Mathias Uhlén, Fredrik Wiklund, Anders Bjartell, Peter Nilsson, Jochen M Schwenk ",Analysis of plasma from prostate cancer patients links decreased carnosine dipeptidase 1 levels to lymph node metastasis ,Translational Proteomics ,2,3,14-24,2014,no,N/A,
National,Affinity proteomics,Tissue profiling (UU),"Samir R, Asplund A, Tot T, Pekar G, Hellberg D.","Tissue tumor marker expression in smokers, including serum cotinine concentrations, in women with cervical intraepithelial neoplasia or normal squamous cervical epithelium.",Am J Obstet Gynecol ,202,6,579,2010,No,3.313,20060094
National,Affinity proteomics,Tissue profiling (UU),"Samir R, Tot T, Asplund A, Pekar G, Hellberg D.",Increased serum progesterone and estradiol correlate to increased COX-2 tissue expression in cervical intraepithelial neoplasia.,Anticancer Res ,30,4,1217-22,2010,No,1.656,20530431
National,Affinity proteomics,Tissue profiling (UU),"Brennan DJ, Brändstedt J, Rexhepaj E, Foley M, Pontén F, Uhlén M, Gallagher WM, O'Connor DP, O'Herlihy C, Jirstrom K.",Tumour-specific HMG-CoAR is an independent predictor of recurrence free survival in epithelial ovarian cancer.,BMC Cancer,10,125,,2010,No,3.153,20359358
National,Affinity proteomics,Tissue profiling (UU),"Holgersson G, Ekman S, Reizenstein J, Bergqvist M, Pontén F, Uhlén M, Magnusson K, Jonnalagadda P, Asplund A, Strömberg S, Linder A, Blomquist E, Liljeholm M, Lödén B, Hellström K, Bergström S.",Molecular profiling using tissue microarrays as a tool to identify predictive biomarkers in laryngeal cancer treated with radiotherapy.,Cancer Genomics Proteomics ,7,1,,2010,No,N/A,20181625
National,Affinity proteomics,Tissue profiling (UU),"Lindskog C, Asplund A, Engkvist M, Uhlén M, Korsgren O, Pontén F.",Antibody-based proteomics for discovery and exploration of proteins expressed in pancreatic islets.,Discov Med ,9,49,565-78,2010,No,N/A,20587347
National,Affinity proteomics,Tissue profiling (UU),"Paavilainen L, Edvinsson A, Asplund A, Hober S, Kampf C, Pontén F, Wester K.",The impact of tissue fixatives on morphology and antibody-based protein profiling in tissues and cells.,J Histochem Cytochem ,58,3,237-46,2010,No,2.381,19901271
National,Affinity proteomics,Tissue profiling (UU),"Gry M, Oksvold P, Pontén F, Uhlén M.","Tissue-specific protein expression in human cells, tissues and organs.",J Proteomics Bioinform ,3,10,294-301,2010,No,N/A,
National,Affinity proteomics,Tissue profiling (UU),"Ehlén A, Brennan DJ, Nodin B, O'Connor DP, Eberhard J, Alvarado-Kristensson M, Jeffrey IB, Manjer J, Brändstedt J, Uhlén M, Pontén F, Jirström K.",Expression of the RNA-binding protein RBM3 is associated with a favourable prognosis and cisplatin sensitivity in epithelial ovarian cancer.,J Transl Med ,8,78,'8:78,2010,No,3.508,20727170
National,Affinity proteomics,Tissue profiling (UU),"Agnarsdóttir M, Sooman L, Bolander A, Strömberg S, Rexhepaj E, Bergqvist M, Ponten F, Gallagher W, Lennartsson J, Ekman S, Uhlen M, Hedstrand H.",SOX10 expression in superficial spreading and nodular malignant melanomas.,Melanoma Res ,20,6,468-78,2010,No,2.254,20890226
National,Affinity proteomics,Tissue profiling (UU),"Ryan D, Rafferty M, Hegarty S, O'Leary P, Faller W, Gremel G, Bergqvist M, Agnarsdottir M, Strömberg S, Kampf C, Pontén F, Millikan RC, Dervan PA, Gallagher WM.",Topoisomerase I amplification in melanoma is associated with more advanced tumours and poor prognosis.,Pigm Cell Melanoma R,23,4,542-53,2010,No,2.349,20465595
National,Affinity proteomics,Tissue profiling (UU),"Magnusson K, de Wit M, Brennan DJ, Johnson LB, McGee SF, Lundberg E, Naicker K, Klinger R, Kampf C, Asplund A, Wester K, Gry M, Bjartell A, Gallagher WM, Rexhepaj E, Kilpinen S, Kallioniemi OP, Belt E, Goos J, Meijer G, Birgisson H, Glimelius B, Borrebaeck CA, Navani S, Uhlén M, O'Connor DP, Jirström K, Pontén F.",SATB2 in combination with cytokeratin 20 identifies over 95% of all colorectal carcinomas.,Am J Surg Pathol,35,7,937-48,2011,No,4.352,21677534
National,Affinity proteomics,Tissue profiling (UU),"Brennan DJ, Laursen H, O'Connor DP, Borgquist S, Uhlen M, Gallagher WM, Pontén F, Millikan RC, Rydén L, Jirström K.",Tumor-specific HMG-CoA reductase expression in primary premenopausal breast cancer predicts response to tamoxifen.,Breast Cancer Res,13,1,R12,2011,No,5.245,21281480
National,Affinity proteomics,Tissue profiling (UU),"Wallin U, Glimelius B, Jirström K, Darmanis S, Nong RY, Pontén F, Johansson C, Påhlman L, Birgisson H.",Growth differentiation factor 15: a prognostic marker for recurrence in colorectal cancer.,Brit J Cancer,104,10,1619-27,2011,No,5.042,21468045
National,Affinity proteomics,Tissue profiling (UU),"Gremel G, Ryan D, Rafferty M, Lanigan F, Hegarty S, Lavelle M, Murphy I, Unwin L, Joyce C, Faller W, McDermott EW, Sheahan K, Ponten F, Gallagher WM.",Functional and prognostic relevance of the homeobox protein MSX2 in malignant melanoma.,Brit J Cancer,105,4,565-74,2011,No,5.042,21730974
National,Affinity proteomics,Tissue profiling (UU),"Rolny C, Mazzone M, Tugues S, Laoui D, Johansson I, Coulon C, Squadrito LM, Segura I, Li X, Knelvels E, Costa S, Vinckier S, Dresselaer T, Åkerud P, De Moi M, Phillipson M, Wyns S, Larsson E, Buysschaert I, Botling J, Himmelreich U, Van Ginderachter JA, De Palma M, Dewerschin M, Claesson-Welsh L and Carmeliet P",HRG inhibits tumor growth and metastasis by inducing macrophage polarization and vessel normalization through downregulation of PlGF.,Cancer cell,19,1,31-44,2011,No,26.566,21215706
National,Affinity proteomics,Tissue profiling (UU),"Jonsson L, Gaber A, Ulmert D, Uhlén M, Bjartell A, Jirström K.",High RBM3 expression in prostate cancer independently predicts a reduced risk of biochemical recurrence and disease progression.,Diagn Pathol ,6,91,'6:91,2011,No,1.638,21955582
National,Affinity proteomics,Tissue profiling (UU),"Lindström AK, Asplund A, Hellberg D.","Correlation between LRIG1 and LRIG2 expressions and expression of 11 tumor markers, with special reference to tumor suppressors, in CIN and normal cervical epithelium.",Gynecol Oncol,122,2,372-6,2011,No,3.888,21632100
National,Affinity proteomics,Tissue profiling (UU),"Pontén F, Schwenk JM, Asplund A, Edqvist PH.",The Human Protein Atlas as a proteomic resource for biomarker discovery.,J Intern Med ,270,5,428-46,2011,No,5.483,21752111
National,Affinity proteomics,Tissue profiling (UU),"Samir R, Asplund A, Tot T, Pekar G, Hellberg D.","High-risk HPV infection and CIN grade correlates to the expression of c-myc, CD4+, FHIT, E-cadherin, Ki-67, and p16INK4a.",J Low Genit Tract Di,15,4,280-6,2011,No,1.069,21558960
National,Affinity proteomics,Tissue profiling (UU),"Fagerberg L, Strömberg S, El-Obeid A, Gry M, Nilsson K, Uhlen M, Ponten F, Asplund A.",Large-scale protein profiling in human cell lines using antibody-based proteomics.,J Proteome Res ,10,9,4066-75,2011,No,5.113,21726073
National,Affinity proteomics,Tissue profiling (UU),"Jonsson L, Bergman J, Nodin B, Manjer J, Pontén F, Uhlén M, Jirström K.",Low RBM3 protein expression correlates with tumour progression and poor prognosis in malignant melanoma: an analysis of 215 cases from the Malmö Diet and Cancer Study.,J Transl Med ,9,114,'9:114,2011,No,3.474,21777469
National,Affinity proteomics,Tissue profiling (UU),"Hjelm B, Brennan DJ, Zendehrokh N, Eberhard J, Nodin B, Gaber A, Pontén F, Johannesson H, Smaragdi K, Frantz C, Hober S, Johnson LB, Påhlman S, Jirström K, Uhlen M.",High nuclear RBM3 expression is associated with an improved prognosis in colorectal cancer.,Proteom Clin Appl,5,11-12,624-35,2011,Yes,1.97,21956899
National,Affinity proteomics,Tissue profiling (UU),"Häggarth L, Hägglöf C, Jaraj SJ, Wester K, Pontén F, Ostman A, Egevad L.",Diagnostic biomarkers of prostate cancer.,Scand J Urol Nephrol ,45,1,60-7,2011,No,0.994,21034352
National,Affinity proteomics,Tissue profiling (UU),"Jaraj SJ, Augsten M, Häggarth L, Wester K, Pontén F, Ostman A, Egevad L.",GAD1 is a biomarker for benign and malignant prostatic tissue.,Scand J Urol Nephrol ,45,1,39-45,2011,No,0.994,21091088
National,Affinity proteomics,Tissue profiling (UU),"Ehlén O, Nodin B, Rexhepaj E, Brändstedt J, Uhlén M, Alvarado-Kristensson M, Pontén F, Brennan DJ, Jirström K.",RBM3-Regulated Genes Promote DNA Integrity and Affect Clinical Outcome in Epithelial Ovarian Cancer.,Transl Oncol,4,4,212-21,2011,No,3.393,21804916
National,Affinity proteomics,Tissue profiling (UU),"Medrek C, Ponten F, Jirstrom K, Leandersson K",The presence of tumor associated macrophages in tumor stroma as a prognostic marker for breast cancer patients.,BMC Cancer,12,306,'12:306,2012,No,3.333,22824040
National,Affinity proteomics,Tissue profiling (UU),"Kampf C, Bergman J, Oksvold P, Asplund A, Navani S, Wiking M, Lundberg E, Uhlén M and Ponten F",A tool to facilitate Clinical Biomarker Studies – a Tissue Dictionary based on the Human Protein Atlas.,BMC Med,10,1,103,2012,No,6.679,22971420
National,Affinity proteomics,Tissue profiling (UU),"Elsir, T., Smits, A., Lindström, MS., Nistér, M.",Transcription factor PROX 1; its role in development and cancer,Cancer Metastasis Review,31,3-4,793-805,2012,No,7.787,
National,Affinity proteomics,Tissue profiling (UU),"Samir R, Asplund A, Tot T, Pekar G, Hellberg D",Oral contraceptive and progestin-only use correlates to tissue tumor marker expression in women with cervical intraepithelial neoplasia.,Contraception,85,3,288-93,2012,No,3.09,22067748
National,Affinity proteomics,Tissue profiling (UU),"Sillars-Hardebol AH, Carvalho B, Tijssen M, Beliën JA, de Wit M, Delis-van Diemen PM, Pontén F, van de Wiel MA, Fijneman RJ, Meijer GA",TPX2 and AURKA promote 20q amplicon-driven colorectal adenoma to carcinoma progression.,Gut,61,11,1568-75,2012,No,10.732,22207630
National,Affinity proteomics,Tissue profiling (UU),"Mattsson JS, Imgenberg-Kreuz J, Edlund K, Botling J, Micke P.",Consistent mutation status within histologically heterogeneous lung cancer lesions,Histopathology,61,4,744-748,2012,No,2.857,22458769
National,Affinity proteomics,Tissue profiling (UU),"Edlund K, Lindskog C, Saito A, Berglund A, Pontén F, Göransson-Kultima H, Isaksson A, Jirström K, Planck-Sturegård M, Johansson L, Lambe M, Holmberg L, Nyberg F, Ekman S, Bergkvist M, Landelius P, Lamberg K, Botling J, Ostman A, Micke P.",CD99 is a novel prognostic stromal marker in non-small cell lung cancer.,Int J Cancer,131,10,2264-73,2012,No,6.198,22392539
National,Affinity proteomics,Tissue profiling (UU),"Sillars-Hardebol AH, Carvalho B, Beliën JA, de Wit M, Delis-van Diemen PM, Tijssen M, van de Wiel MA, Pontén F, Fijneman RJ, Meijer GA.",BCL2L1 has a functional role in colorectal cancer and its protein expression is associated with chromosome 20q gain.,J Pathol,226,3,442-50,2012,No,7.585,
National,Affinity proteomics,Tissue profiling (UU),"Dieterich LC, Mellberg S, Langenkamp E, Zhang L, Zieba A, Salomäki H, Teichert M, Huang H, Edqvist PH, Kraus T, Augustin HG, Olofsson T, Larsson E, Söderberg O, Molema G, Pontén F, Georgii-Hemming P, Alafuzoff I, Dimberg A.",Transcriptional profiling of human glioblastoma vessels indicates a key role of VEGF-A and TGFβ 2 in vascular abnormalization.,J Pathol,228,,378-390,2012,No,7.585,22786655
National,Affinity proteomics,Tissue profiling (UU),"Lindskog C, Korsgren O, Pontén F, Eriksson JW, Johansson L, Danielsson A",Novel pancreatic beta cell-specific proteins: Antibody-based proteomics for identification of new biomarker candidates,J Proteomics,75,9,2611-2620,2012,No,4.088,22465717
National,Affinity proteomics,Tissue profiling (UU),"Kampf C, Olsson I, Ryberg U, Sjöstedt E, Pontén  F","Production of tissue microarrays, immunohistochemistry staining and digitalization within the human protein atlas",Journal of Visualized Experiments,63,,e3620,2012,No,N/A,22688270
